BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Tersman2008-TERTRO,2008,The Reliability of Moral Intuitions: A Challenge From Neuroscience,"Tersman, Folke",Australasian Journal of Philosophy,NA,ARTICLE,10.1080/00048400802002010,,Taylor \& Francis
Greene2007-GRETSJ,2007,The Secret Joke of Kant?s Soul,"Greene, Joshua",NA,"Moral Psychology, Volume 3: The Neuroscience of Morality: Emotion, Brain Disorders, and Development",INCOLLECTION,NA,,MIT Press
Hauser2009-HAUWMI,2009,When Moral Intuitions Are Immune to the Law: A Case Study of Euthanasia and the Act-Omission Distinction in the Netherlands,"Hauser, Tonnaer, Cima",Journal of Cognition and Culture,NA,ARTICLE,10.1163/156770909x12489459066147,,Brill Academic Publishers
Swain2008-WEITIO-4,2008,The Instability of Philosophical Intuitions: Running Hot and Cold on Truetemp,"Swain, Stacey, Alexander, Joshua, Weinberg, Jonathan M.",Philosophy and Phenomenological Research,NA,ARTICLE,10.1111/j.1933-1592.2007.00118.x,,Wiley-Blackwell
Mallon2009-MALAAF-3,2009,Against Arguments From Reference,"Mallon, Ron, Machery, Edouard, Nichols, Shaun, Stich, Stephen",Philosophy and Phenomenological Research,NA,ARTICLE,10.1111/j.1933-1592.2009.00281.x,,Wiley-Blackwell
Sytsma2009-SYTHTS,2009,How to Study Folk Intuitions About Phenomenal Consciousness,"Sytsma, Justin M., Machery, Edouard",Philosophical Psychology,NA,ARTICLE,10.1080/09515080802703653,,NA
Nadelhoffer2007-NADTPA,2007,The Past and Future of Experimental Philosophy,"Nadelhoffer, Thomas, Nahmias, Eddy",Philosophical Explorations,NA,ARTICLE,10.1080/13869790701305921,,Routledge
Stueber2009-STUTED,2009,The Ethical Dimension of Folk Psychology?,"Stueber, Karsten R.",Inquiry: An Interdisciplinary Journal of Philosophy,NA,ARTICLE,10.1080/00201740903302717,,Taylor \& Francis
Desautels2008-DESFFT-2,2008,Folk Feminist Theory: An Experimental Approach,"Desautels, Peggy",Hypatia,NA,ARTICLE,10.1111/j.1527-2001.2008.tb01448.x,,NA
Nado2008-NADEOM,2008,Effects of Moral Cognition on Judgments of Intentionality,"Nado, Jennifer",British Journal for the Philosophy of Science,NA,ARTICLE,10.1093/bjps/axn035,,Oxford University Press
Sneddon2009-SNENEA-2,2009,Normative Ethics and the Prospects of an Empirical Contribution to Assessment of Moral Disagreement and Moral Realism,"Sneddon, Andrew",Journal of Value Inquiry,NA,ARTICLE,10.1007/s10790-009-9164-x,,Springer
Robert2008-ROBISC,2008,"Identification, Situational Constraint, and Social Cognition : Studies in the Attribution of Moral Responsibility","Robert, L. Woolfolk, John, M. Doris, John, M. Darley",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Kauppinen2007-KAUTRA,2007,The Rise and Fall of Experimental Philosophy,"Kauppinen, Antti",Philosophical Explorations,NA,ARTICLE,10.1080/13869790701305871,,Routledge
Pettit2009-KNOTPI,2009,The Pervasive Impact of Moral Judgment,"Pettit, Dean, Knobe, Joshua",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2009.01375.x,,Blackwell
Machery2009-MACLAM,2009,Linguistic and Metalinguistic Intuitions in the Philosophy of Language,"Machery, Edouard, Olivola, Christopher Y., Blanc, Molly De",Analysis,NA,ARTICLE,10.1093/analys/anp095,,Oxford University Press
Zamzow2009-ZAMVIE,2009,Variations in Ethical Intuitions,"Zamzow, Jennifer L., Nichols, Shaun",Philosophical Issues,NA,ARTICLE,10.1111/j.1533-6077.2009.00164.x,,Blackwell
Spicer2007-SPIKAT,2007,Knowledge and the Heuristics of Folk Epistemology,"Spicer, Finn",NA,New Waves in Epistemology,INCOLLECTION,NA,,Palgrave-Macmillan
Roskies2008-ROSBMR-3,2008,Bringing Moral Responsibility Down to Earth,"Roskies, Adina L., Nichols, Shaun",Journal of Philosophy,NA,ARTICLE,10.5840/jphil2008105737,,Journal of Philosophy
deVries2009-DEVEEA,2009,Empirical Ethics and its Alleged Meta-Ethical Fallacies,"de Vries, Rob, Gordijn, Bert",Bioethics,NA,ARTICLE,10.1111/j.1467-8519.2009.01710.x,,Wiley-Blackwell
Gasparatou2008-GASAVQ,2008,Armchair Versus Questionnaire Polled Intuitions: Intuitions Nevertheless,"Gasparatou, R.",The Reasoner,NA,ARTICLE,NA,,NA
Wiland2007-WILIAA-2,2007,"Intentional Action and ""in Order To""","Wiland, Eric",Journal of Theoretical and Philosophical Psychology,NA,ARTICLE,10.1037/h0091285,,Apa Division 24 (Society for Theoretical and Philosophical Psychology)
Joseph2008-JOSIOE-3,2008,Impact of Emotional Intelligence and Other Factors on Perception of Ethical Behavior of Peers,"Joseph, Jacob, Berry, Kevin, Deshpande, Satish P.",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-008-0015-7,,Springer
Gonnerman2008-GONRCM,2008,Reading Conflicted Minds: An Empirical Follow-Up to Knobe and Roedder,"Gonnerman, Chad",Philosophical Psychology,NA,ARTICLE,10.1080/09515080801978777,,NA
Dhar2009-DHACVI-2,2009,Compatibilism Vs. Incompatibilism: An Integrated Approach From Participant Stance and Affect,"Dhar, Sharmistha",Logos Architekton,NA,ARTICLE,NA,,NA
Lanteri2009-LANJOI,2009,Judgements of Intentionality and Moral Worth: Experimental Challenges to Hindriks,"Lanteri, Alessandro",Philosophical Quarterly,NA,ARTICLE,10.1111/j.1467-9213.2009.626.x,,Wiley-Blackwell
Sosa2008-SOSHAE,2008,How Are Experiments Relevant to Intuitions?,"Sosa, Ernest",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Jylkka2009-JYLPEA-3,2009,Psychological Essentialism and Semantic Externalism: Evidence for Externalism in Lay Speakers? Language Use,"Jylkkä, Jussi, Railo, Henry, Haukioja, Jussi",Philosophical Psychology,NA,ARTICLE,10.1080/09515080802703687,,Philosophy Documentation Center
Liao2008-LIAADO,2008,A Defense of Intuitions,"Liao, S. Matthew",Philosophical Studies,NA,ARTICLE,10.1007/s11098-007-9140-x,,Springer
Turner2007-TURIII,2007,Is Incompatibilism Intuitive?,"Turner, Jason, Nahmias, Eddy, Morris, Stephen, Nadelhoffer, Thomas",Philosophy and Phenomenological Research,NA,ARTICLE,10.1111/j.1933-1592.2006.tb00603.x,,Blackwell
Ratcliffe2009-RATTAN,2009,There Are No Folk Psychological Narratives,"Ratcliffe, Matthew",Journal of Consciousness Studies,NA,ARTICLE,NA,,Imprint Academic
Sinnott-Armstrong2008-SINAC,2008,Abstract + Concrete = Paradox,"Sinnott{-}Armstrong, Walter",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Mikhail2009-MIKMGA,2009,Moral Grammar and Intuitive Jurisprudence: A Formal Model of Unconscious Moral and Legal Knowledge,"Mikhail, John",NA,"Psychology of Learning and Motivation, Vol. 50: Moral Judgment and Decision Making",INCOLLECTION,NA,,Academic Press
Steadman2007-ADAFCS,2007,"Folk Concepts, Surveys and Intentional Action","Steadman, Annie, Adams, Frederick",NA,"Intentionality, deliberation and autonomy: the action-theoretic basis of practical philosophy",INCOLLECTION,NA,,Ashgate Publishing
Wright2009-WRIAIJ-2,2009,Asymmetries in Judgments of Responsibility and Intentional Action,"Wright, Jennifer Cole, Bengson, John",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2008.01352.x,,Wiley-Blackwell
Knobe2008-KNOAEP,2008,An Experimental Philosophy Manifesto,"Knobe, Joshua, Nichols, Shaun",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Phillips2009-PHIMJA,2009,Moral Judgments and Intuitions About Freedom,"Phillips, Jonathan, Knobe, Joshua",Psychological Inquiry,NA,ARTICLE,NA,,NA
Nichols2007-NICMRA-2,2007,Moral Responsibility and Determinism: The Cognitive Science of Folk Intuitions,"Nichols, Shaun, Knobe, Joshua",Noûs,NA,ARTICLE,10.1111/j.1468-0068.2007.00666.x,,Blackwell
Ladd2007-LADIOU,2007,"Inward, Outward, Upward Prayer and Big Five Personality Traits","Ladd, Kevin L., Ladd, Meleah L., Harner, Julie, Swanson, Ted, Metz, Tricia, Pierre, Kate St, Trnka, Danielle",Archive for the Psychology of Religion,NA,ARTICLE,10.1163/008467207x188711,,Brill Academic Publishers
Phelan2008-PHETFS,2008,"The Folk Strike Back; or, Why You Didn?T Do It Intentionally, Though It Was Bad and You Knew It","Phelan, Mark T., Sarkissian, Hagop",Philosophical Studies,NA,ARTICLE,10.1007/s11098-006-9047-y,,Springer
Cova2008-COVSCE,2008,"Sens Commun Et Objectivisme Moral : Objectivisme ""Global"" Ou Objectivisme ""Local"" ? Une Introduction Par l'Exemple À la Philosophie Expérimentale","Cova, Florian, Ravat, Jérôme",Klesis,NA,ARTICLE,NA,,NA
Sytsma2009-SYTPOA,2009,Phenomenological Obviousness and the New Science of Consciousness,"Sytsma, Justin",Philosophy of Science,NA,ARTICLE,10.1086/605821,,NA
Pigden2009-PIGANA,2009,A Niggle at Nagel: Causally Active Desires and the Explanation of Action,"Pigden, Charles",NA,New essays on the explanation of action,INCOLLECTION,NA,,Palgrave-Macmillan
Schwitzgebel2009-SCHDES,2009,Do Ethicists Steal More Books?,"Schwitzgebel, Eric",Philosophical Psychology,NA,ARTICLE,10.1080/09515080903409952,,Taylor \& Francis
Doris2008-DORMPE,2008,Moral Psychology: Empirical Approaches,"Doris, John, Stich, Stephen",NA,Stanford Encyclopedia of Philosophy,INCOLLECTION,NA,,NA
Knobe2008-KNOEP-2,2008,Experimental Philosophy,NA,NA,NA,BOOK,NA,,Oxford University Press
Marti2009-MARASM-2,2009,Against Semantic Multi-Culturalism,"Marti, Genoveva",Analysis,NA,ARTICLE,10.1093/analys/ann007,,Oxford University Press
Batson2008-BATMME-3,2008,Moral Masquerades: Experimental Exploration of the Nature of Moral Motivation,"Batson, C. Daniel",Phenomenology and the Cognitive Sciences,NA,ARTICLE,10.1007/s11097-007-9058-y,,Springer Verlag
Knobe2008-KNOCJA,2008,Causal Judgment and Moral Judgment: Two Experiments,"Knobe, Joshua, Fraser, Ben",NA,"Moral Psychology, 3 Vols.",INCOLLECTION,NA,,MIT Press
Stotz2007-STOBRT,2007,"Biohumanities: Rethinking the Relationship Between Biosciences, Philosophy and History of Science, and Society","Stotz, Karola, Griffiths, Paul E.",Quarterly Review of Biology,NA,ARTICLE,NA,,University of Chicago Press
Robbins2008-ROBCAT-2,2008,Consciousness and the Social Mind,"Robbins, Philip",Cognitive Systems Research,NA,ARTICLE,NA,,NA
Goldman2007-GOLAPF,2007,"A Program for ?Naturalizing? Metaphysics, with Application to the Ontology of Events","Goldman, Alvin I.",The Monist,NA,ARTICLE,10.5840/monist200790331,,The Hegeler Institute
Woolfolk2008-WOOISC,2008,"Identification, Situational Constraint, and Social Cognition : Studies in the Attribution of Moral Responsibility","Woolfolk, Robert L., Doris, John M., Darley, \& John M.",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Stotz2009-STOPIT,2009,Philosophy in the Trenches: From Naturalized to Experimental Philosophy (of Science),"Stotz, Karola",Studies in History and Philosophy of Science Part A,NA,ARTICLE,10.1016/j.shpsa.2009.03.011,,Elsevier
Bishop2009-BISROC,2009,Reflections on Cognitive and Epistemic Diversity: Can a Stich in Time Save Quine?,"Bishop, Michael",NA,Stich and His Critics,INCOLLECTION,NA,,Wiley-Blackwell
Levine2009-LEVAEP-2,2009,An Experimental Philosophy Approach to Imaginative Resistance,"Levine, Sydney",NA,NA,THESIS,NA,,NA
Cushman2008-CUSCAP,2008,Crime and Punishment: Distinguishing the Roles of Causal and Intentional Analyses in Moral Judgment,"Cushman, Fiery",Cognition,NA,ARTICLE,10.1016/j.cognition.2008.03.006,,NA
Rodriguez-Arias2007-DROADA,2007,Advance Directives and the Family: French and American Perspectives,"Rodríguez{-}Arias, D., Moutel, G., Aulisio, M. P., Salfati, A., Coffin, J. C., Rodríguez{-}Arias, J. L., Calvo, L., Hervé, C.",Clinical Ethics,NA,ARTICLE,10.1258/147775007781870038,,NA
Nahmias2009-NAHWWL,2009,"Why 'Willusionism' Leads to 'Bad Results': Comments on Baumeister, Crescioni, and Alquist","Nahmias, Eddy",Neuroethics,NA,ARTICLE,10.1007/s12152-009-9047-7,,Springer Verlag
Ulatowski2008-ULAHMA,2008,How Many Accounts of Act Individuation Are There?,"Ulatowski, Joseph",NA,NA,THESIS,NA,,NA
Degano2007-DEGDAP,2007,Dissociation and Presupposition in Discourse: A Corpus Study,"Degano, Chiara",Argumentation,NA,ARTICLE,10.1007/s10503-007-9058-7,,Springer
Prinz2007-PRITEC-2,2007,The Emotional Construction of Morals,"Prinz, Jesse",NA,NA,BOOK,NA,,Oxford University Press
Hassoun2009-HASMN,2009,Meeting Need,"Hassoun, Nicole",Utilitas,NA,ARTICLE,10.1017/s0953820809990045,,Cambridge University Press
Pietroski2009-PIETMO,2009,"The Meaning of 'Most': Semantics, Numerosity and Psychology","Pietroski, Paul, Lidz, Jeffrey, Hunter, Tim, Halberda, Justin",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2009.01374.x,,Blackwell
Nelkin2007-NELDWH,2007,Do We Have a Coherent Set of Intuitions About Moral Responsibility?,"Nelkin, Dana K.",Midwest Studies in Philosophy,NA,ARTICLE,10.1111/j.1475-4975.2007.00159.x,,NA
Nahmias2007-NAHFWM,2007,"Free Will, Moral Responsibility, and Mechanism: Experiments on Folk Intuitions","Nahmias, Eddy, Coates, D. Justin, Kvaran, Trevor",Midwest Studies in Philosophy,NA,ARTICLE,10.1111/j.1475-4975.2007.00158.x,,NA
Nahmias2008-III,2008,Is Incompatibilism Intuitive?,"Nahmias, Eddy, Morris, Stephen, Nadelhoffer, Thomas, Turner, Jason",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Lopez2009-LOPSCA,2009,Side Constraints and the Structure of Commonsense Ethics,"Lopez, Theresa, Zamzow, Jennifer, Gill, Michael, Nichols, Shaun",Philosophical Perspectives,NA,ARTICLE,10.1111/j.1520-8583.2009.00173.x,,Blackwell
Salter2009-SALECE,2009,"?Empiricism Contra Experiment: Harvey, Locke and the Revisionist View of Experimental Philosophy?","Salter, Alan, Wolfe, Charles T.",Bulletin d'histoire et d'épistémologie des sciences de la vie,NA,ARTICLE,NA,,NA
Beaulieu2009-BEASMS-2,2009,Sinnott-Armstrong?s Moral Skepticism: A Murdochian Response,"Beaulieu, Gerald",Dialogue,NA,ARTICLE,10.1017/s0012217309990199,,Cambridge University Press
Skelton2008-SKEROA,2008,"Review of Anthony Appiah, \emph{Experiments in Ethics}","Skelton, Anthony",NA,Globe and Mail,INCOLLECTION,NA,,NA
Sorum2007-SASAIF,2007,Acceptability in France of Induced Abortion for Adolescents,"Sorum, Paul Clay, Mullet, Etienne, Legrain, Elizabeth, Peccarisi, Céline, Sastre, María Teresa Muñoz",American Journal of Bioethics,NA,ARTICLE,10.1080/15265160701462368,,Taylor \& Francis
Feltz2008-FELTFF-2,2008,The Fragmented Folk: More Evidence of Stable Individual Differences in Moral Judgments and Folk Intuitions,"Feltz, A., Cokely, E. T.",NA,Proceedings of the 30th Annual Conference of the Cognitive Science Society.,INCOLLECTION,NA,,Cognitive Science Society
Gansinger2009-GANZKI-2,2009,Zur Kommunikation in Kollektiv Improvisierter Musik. Kommunikationstheoretische Und Interkulturelle Aspekte,"Gansinger, Martin A. M.",NA,NA,BOOK,NA,,Südwestdeutscher Verlag für Hochschulschriften
Nadelhoffer2008-NADTAB,2008,The Actor?Observer Bias and Moral Intuitions: Adding Fuel to Sinnott-Armstrong?s Fire,"Nadelhoffer, Thomas, Feltz, Adam",Neuroethics,NA,ARTICLE,10.1007/s12152-008-9015-7,,Springer Verlag
Hedayti2009-HEDEOT-2,2009,Effects of the Philosophy for Children Program Through the Community of Inquiry Method on the Improvement of Interpersonal Relationship Skills in Primary School Students,"Hedayti, Mehrnoosh, Ghaedi, Yahya",Childhood and Philosophy,NA,ARTICLE,NA,,State University of Rio de Janeiro
Nadelhoffer2008-NADBAB-2,2008,"Bad Acts, Blameworthy Agents, and Intentional Actions : Some Problems for Juror Impartiality","Nadelhoffer, Thomas",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Nado2009-NADMJ,2009,Moral Judgment,"Nado, Jennifer, Kelly, Daniel, Stich, Stephen",NA,The Routledge Companion to Philosophy of Psychology,INCOLLECTION,NA,,Routledge
Cowley-Cunningham2007-COWINM,2007,"It's Not My Fault, Your Honor, I'm Only the Enabler","Cowley{-}Cunningham, Michelle B.",NA,"Proceedings of the Annual Meeting of the Cognitive Science Society, Vol. 29, 2007, Extended Abstract.",INCOLLECTION,NA,,NA
Sosa2008-SOSEPA-2,2008,Experimental Philosophy and Philosophical Intuition,"Sosa, Ernest",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Nichols2007-NICIAI-2,2007,Intuitions and Individual Differences: The Knobe Effect Revisited,"Nichols, Shaun, Ulatowski, Joseph",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2007.00312.x,,Wiley-Blackwell
Pfeifer2007-PFEHRW,2007,Human Reasoning with Imprecise Probabilities: Modus Ponens and Denying the Antecedent,"Pfeifer, Niki, Kleiter, G. D.",NA,Proceedings of the 5 T H International Symposium on Imprecise Probability: Theories and Applications,INCOLLECTION,NA,,NA
Dwyer2009-DWYMDA,2009,Moral Dumbfounding and the Linguistic Analogy: Methodological Implications for the Study of Moral Judgment,"Dwyer, Susan",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2009.01363.x,,Wiley-Blackwell
Schroeter2008-FRAEPC-2,2008,"Experimental Philosophers, Conceptual Analysts, and the Rest of Us","Schroeter, François",Philosophical Explorations,NA,ARTICLE,10.1080/13869790802013531,,Routledge
Campbell2008-CAMGDI-2,2008,Gender Diversity in the Boardroom and Firm Financial Performance,"Campbell, Kevin, Mínguez{-}Vera, Antonio",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-007-9630-y,,Springer
